sample_id,timepoint,crop,ID,plot,mgmttype,depth_upper,depth_lower,doc_mgkg,gm_fraction,microbial_biomass_c_mgkg,ammonium_mgkg,nitrate_mgkg,ph,percentN,percentC,calcium_ppm,magnesium_ppm,potentially_mineralizable_c_mgkg,poxc_mgkg,protein_gkg,phosphorus_ppm,sulfur_ppm,cu_ppm,om_percent,suva,sand_percent,silt_percent,clay_percent,bulkdensity
11,TP1,C,11,1_4,CMT,15,60,2.195216039,0.172477917,33.81619373,1.204698133,2.545072705,7.11,0.000866918,0.00821005,2014,2278,7.2,258.5,1081.7,9,7,5.5,2.7,,17.3746,60.695,21.9578,1.455
12,TP1,C,12,1_4,CMT,60,100,0.406695721,0.150191939,19.5871207,1.068490941,0.793591919,7.58,0.000603575,0.005237247,1873,2633,3.3,216.7,966,3,4,5.5,2.3,,19.4968,58.71,21.7523,1.61
13,TP1,T,13,2_3,OMT,0,15,24.67912038,0.118371212,92.39798119,0.532663443,0.691084834,7.05,0.001548333,0.013007793,2573,1974,35.7,461.8,2055.1,96,14,8,3,,21.84422,59.69,18.4892,1.17
14,TP1,T,14,2_3,OMT,15,60,13.63277024,0.155913978,19.16569974,0.45950713,0.512867339,7.31,0.00078616,0.007081191,2151,2365,8.9,242.8,1211.8,16,12,6.4,2.3,,19.14403,60.395,20.44635,1.4
15,TP1,T,15,2_3,OMT,60,100,1.940984605,0.164150024,18.82412195,0.325289074,0.190096863,7.5,0.00061602,0.005254154,1912,2802,3.7,201.1,1061,4,7,6,2.8,,17.97636,60.37,21.5969,1.69
16,TP1,C,16,2_4,LMT,0,15,10.78446021,0.126394052,72.40743053,1.352008782,0.781273779,7.04,0.001071801,0.009566263,2208,2147,12,352.3,1570,13,9,5.6,2.7,,25.6229,57.18,17.1839,1.17
17,TP1,C,17,2_4,LMT,15,60,4.0397047,0.157942238,26.79906645,0.785833438,1.670460949,7.28,0.000761235,0.006577616,2178,2283,5.3,258.5,1030.2,4,10,5.7,2.3,,19.6305,60.565,19.8103,1.16
18,TP1,C,18,2_4,LMT,60,100,0,0.161524501,14.9733554,1.244711604,1.098264471,7.46,0.000636471,0.005183941,2065,2706,3.9,201.1,889.9,3,7,5.8,2.3,,16.571,61,22.4129,1.66
19,TP1,C,19,4_4,LMT,0,15,12.41331464,0.114617169,67.52813091,1.3091461,0.596908154,7.21,0.000989789,0.008571081,2038,1871,23.6,352.3,1402.1,16,8,5.2,2.5,,33.6335,51.88,14.4705,1.34
20,TP1,C,20,4_4,LMT,15,60,3.670658835,0.153951576,27.52329728,0.749130891,2.410867754,7.36,0.000701138,0.005732667,1795,1677,7.8,222,1067.9,5,8,4.3,2,,34.47635,51.965,13.55285,1.2
21,TP1,C,21,4_4,LMT,60,100,0,0.167942368,18.41328078,0.88072228,1.328966138,7.5,0.000497582,0.004137246,1717,1957,4.4,180.2,972.7,5,10,4.8,2.2,,35.0289,50.58,14.4105,1.46
22,TP1,T,22,4_5,CMT,0,15,7.544746537,0.145153881,55.32694455,0.349278654,1.621062849,7.27,0.000905054,0.008298318,1895,1766,17.7,347.1,1504.4,27,7,5,2.2,,30.6136,53.42,15.9993,1.08
23,TP1,T,23,4_5,CMT,15,60,2.787723808,0.181598063,21.78076029,0.533800263,3.109167986,7.41,0.000700489,0.006528805,2057,1950,3.3,253.2,1130.4,7,6,5.3,2,,31.018,51.855,17.1246,1.47
24,TP1,T,24,4_5,CMT,60,100,0.800840359,0.181855333,14.50830004,1.325217403,1.101629636,7.5,0.000493457,0.004471259,2040,2197,3.9,190.7,976.1,3,8,5.6,2,,29.878091,51.35,18.7568,1.46
25,TP1,C,25,5_5,CMT,0,15,10.7206325,0.150464094,65.05451744,1.56684958,5.18318298,7.12,0.0009581,0.009122213,2002,1828,14.1,341.9,1398.4,30,11,5.5,2.5,,27.8827,54.95,17.1738,1.36
26,TP1,C,26,5_5,CMT,15,60,2.43308754,0.163466042,21.45947446,1.205755645,3.374313801,7.34,0.000733087,0.007017248,2227,2119,6.7,248,1102.5,8,7,5.7,2,,25.56925,56.775,17.66875,1.165
27,TP1,C,27,5_5,CMT,60,100,1.314766495,0.168646081,18.95775132,1.307269523,1.536629456,7.42,0.000608603,0.005537451,1912,2026,5,237.6,932.7,6,5,5.3,2.3,,22.6382,59.2,18.1394,1.53
28,TP1,T,28,6_3,LMT,0,15,11.96744825,0.117205813,96.96874585,2.238467938,0.615529782,7.03,0.001182372,0.010974273,1970,1700,22.3,357.5,1620.8,26,6,4.8,2.2,,20.1935,61.55,18.2439,1.22
29,TP1,T,29,6_3,LMT,15,60,3.024050679,0.150433944,44.47845832,0.838399644,2.878327871,7.21,0.000879829,0.007895013,1969,1738,10.1,284.5,1226.2,10,6,5,2.1,,16.420876,64.205,19.36655,1.44
30,TP1,T,30,6_3,LMT,60,100,1.292273521,0.163282572,22.06267858,0.238541439,0.808829685,7.53,0.000648724,0.005721776,1945,2006,4.8,232.4,1165.6,7,5,5.3,2,,16.0126,61.75,22.2411,1.57
