,plot,mgmttype,year,cash_crop_planted,tom_C_kgha,corn_C_kgha,wcc_c_kgha,wcc_n_kgha,wheat_c_content_kg_ha,sudangrass_c_kg_ha,compost_applied_tons,Total C_compost,Total K_compost,Total N_compost,Total P_compost,Total S_compost,compost_c_kg_ha,compost_n_kg_ha,compost_phosphorus_kg_ha,compost_s_kg_ha,compost_k_kg_ha,fert_N_kg_ha,fert_P_kg_ha,fert_S_kg_ha,fert_K_kg_ha
48,6_5,OMT,1996,Maize,0,4901.233596,1556.21,131.36,0,0,8.8,22.04,1.8821,1.965,1.34,4788.33,4347.821984,387.634764,264.341264,94.45919438,371.2811142,0,0,0,0
49,6_7,LMT,1996,Tomato,2788.6932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.3422777,46.2350625,148.4487366,46.2350625
50,6_8,OMT,1996,Tomato,2844.99,0,1414.73,126.78,0,0,3,22.04,1.8821,1.965,1.34,4788.33,1482.21204,132.148215,90.11634,32.20199808,126.5731071,0,0,0,0
51,6_9,LMT,1996,Maize,0,4106.762467,1346.87,128.48,0,0,0,0,0,0,0,0,0,0,0,0,0,158.3567143,64.16305825,167.6414994,46.2350625
52,7_8,CMT,1996,Maize,0,3709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.4636846,0,64.8232389,0
53,8_8,OMT,1996,Maize,0,3841.03937,1330.38,118.43,0,0,8.8,22.04,1.8821,1.965,1.34,4788.33,4347.821984,387.634764,264.341264,94.45919438,371.2811142,0,0,0,0
54,8_9,CMT,1996,Tomato,2694.6874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.3422777,46.2350625,148.4487366,46.2350625
55,1_1,LMT,1997,Maize,0,4310.791667,2225.12,216.14,0,0,0,0,0,0,0,0,0,0,0,0,0,158.3567143,64.16305825,167.6414994,46.2350625
56,1_2,OMT,1997,Tomato,1913.6988,0,1315.55,114.04,0,0,4,23.26,1.8821,1.965,1.34,4788.33,2085.67768,176.19762,120.15512,42.93599744,168.7641428,0,0,0,0
57,1_3,CMT,1997,Maize,0,5378.417717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.1908245,46.2350625,18.80225875,46.2350625
58,1_4,CMT,1997,Tomato,1028.3826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.6471936,46.2350625,151.0906921,46.2350625
59,2_3,OMT,1997,Maize,0,4817.289108,2114.26,185.69,0,0,7,23.26,1.8821,1.965,1.34,4788.33,3649.93594,308.345835,210.27146,75.13799553,295.3372499,0,0,0,0
60,2_4,LMT,1997,Tomato,1894.3171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.6471936,46.2350625,151.0906921,46.2350625
61,4_4,LMT,1997,Tomato,2162.5162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.6471936,46.2350625,151.0906921,46.2350625
62,4_5,CMT,1997,Maize,0,6060.188976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.1908245,46.2350625,18.80225875,46.2350625
63,5_5,CMT,1997,Tomato,2118.991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.6471936,46.2350625,151.0906921,46.2350625
64,6_3,LMT,1997,Maize,0,5097.125,2308.53,227.52,0,0,0,0,0,0,0,0,0,0,0,0,0,158.3567143,64.16305825,167.6414994,46.2350625
65,6_4,OMT,1997,Maize,0,5639.34252,2313.47,226.93,0,0,7,23.26,1.8821,1.965,1.34,4788.33,3649.93594,308.345835,210.27146,75.13799553,295.3372499,0,0,0,0
66,6_5,OMT,1997,Tomato,2189.574,0,1965.84,186.21,0,0,4,23.26,1.8821,1.965,1.34,4788.33,2085.67768,176.19762,120.15512,42.93599744,168.7641428,0,0,0,0
67,6_7,LMT,1997,Maize,0,4866.841667,2275.65,203.67,0,0,0,0,0,0,0,0,0,0,0,0,0,158.3567143,64.16305825,167.6414994,46.2350625
68,6_8,OMT,1997,Maize,0,5706.677953,2212.96,209.73,0,0,7,23.26,1.8821,1.965,1.34,4788.33,3649.93594,308.345835,210.27146,75.13799553,295.3372499,0,0,0,0
69,6_9,LMT,1997,Tomato,1784.6829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.6471936,46.2350625,151.0906921,46.2350625
70,7_8,CMT,1997,Tomato,2277.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.6471936,46.2350625,151.0906921,46.2350625
71,8_8,OMT,1997,Tomato,2540.3508,0,2029.16,182.82,0,0,4,23.26,1.8821,1.965,1.34,4788.33,2085.67768,176.19762,120.15512,42.93599744,168.7641428,0,0,0,0
72,8_9,CMT,1997,Maize,0,5900.267323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.1908245,46.2350625,18.80225875,46.2350625
73,1_1,LMT,1998,Tomato,2363.0217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.3422777,46.2350625,148.4487366,46.2350625
74,1_2,OMT,1998,Maize,0,4503.057087,1980.05,159.66,0,0,4.7,18.866,1.8821,1.965,1.34,4788.33,1987.719873,207.0322035,141.182266,50.449797,198.2978678,0,0,0,0
75,1_3,CMT,1998,Tomato,1777.6696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.3422777,46.2350625,148.4487366,46.2350625
76,1_4,CMT,1998,Maize,0,4180.408136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.6607305,46.2350625,18.80225875,46.2350625
