sample_id,timepoint,crop,plot,mgmttype,depth_upper,depth_lower,depth_code,mic_c,total_biomass,011: 12:0,019: 14:0 iso,026: 14:0,028: 15:1 iso w6c,029: 15:4 w3c,030: 15:1 anteiso w9c,031: 15:0 iso,033: 15:0 anteiso,041: 15:0,045: 16:0 iso,047: 16:0 anteiso,048: 16:1 w9c,050: 16:1 w7c,052: 16:1 w5c,054: 16:1 w3c,055: 16:0,056: 17:1 iso w10c,057: 16:0 10-methyl,058: 17:1 iso w9c,059: 17:1 anteiso w9c,061: 17:0 iso,062: 17:0 anteiso,064: 17:1 w8c,067: 17:0 cyclo w7c,071: 17:0,072: 17:1 w7c 10-methyl,074: 17:0 10-methyl,075: 18:3 w6c,076: 18:0 iso,078: 18:2 w6c,079: 18:1 w9c,081: 18:1 w7c,083: 18:1 w5c,086: 18:1 w7c 10-methyl,087: 17:0 iso 3OH,088: 18:0 10-methyl,090: 19:3 w6c,095: 19:1 w8c,099: 19:0 cyclo w7c,102: 20:4 w6c,103: 20:5 w3c,104: 20:3 w6c,106: 20:2 w6c,107: 20:1 w9c,112:20:00,113: 20:0 10-methyl,121: 21:1 w3c,123: 22:5 w6c,124: 22:6 w3c,135:22:00,142:23:00,149:24:00,Grampos_Gramneg
1,TP1,T,1_1,LMT,0,15,15,95.76237297,101.36,,0.78,0.97,1.05,0.29,0.37,6.92,4.45,0.72,2.73,,2.04,11.65,4.18,,12.9,,7.53,0.98,0.66,1.43,1.83,1.33,3.55,0.52,0.85,0.68,,0.74,3.53,8.03,10.55,1.68,0.86,,1.98,,,3.16,0.45,0.2,,,0.42,0.43,0.29,,,,0.28,,0.35,0.994
2,TP1,T,1_1,LMT,15,60,45,53.6794952,30.21,,,0.36,,,,2.37,1.47,,0.95,,,3.01,0.79,,4.87,,4.31,0.78,,0.72,0.79,,0.87,,1.04,,,,0.35,1.95,1.72,0.45,,,0.82,,,1.97,,,,,,,0.61,,,,,,,1.729
3,TP1,T,1_1,LMT,60,100,40,23.17895161,11,,,,,,,0.66,0.46,,0.54,,,0.74,,,2.14,,1.9,0.47,,0.36,0.3,,,,0.98,,,,,0.62,0.37,,,,,,,0.57,,,,,,,0.9,,,,,,,3.9
4,TP1,C,1_2,OMT,0,15,15,80.55119842,94.92,,0.61,0.77,0.92,0.25,0.3,6.17,3.92,0.64,2.39,,1.59,9.7,3.6,,13.53,,7.58,0.92,0.52,1.31,1.72,1.03,2.81,0.47,0.94,0.53,,0.87,5.86,7.38,9.1,1.59,0.7,,1.85,,,3.06,0.4,0.19,,,0.25,0.5,,,,,0.29,,0.65,1.072
5,TP1,C,1_2,OMT,15,60,45,54.17176042,23.72,,,,,,,1.87,1.27,,0.78,,0.45,1.39,0.64,,4.18,,3.84,0.61,,0.59,0.69,,0.63,,1.05,,,,0.41,1.33,1.25,0.38,,,0.67,,,1.68,,,,,,,,,,,,,,1.967
6,TP1,C,1_2,OMT,60,100,40,25.84900402,16.81,,,,,,,1.27,0.87,,0.86,,,0.94,,,3.16,,3.19,0.46,,0.58,0.55,,0.37,,1.51,,,,,0.9,0.56,,,,0.63,,,0.98,,,,,,,,,,,,,,3.481
7,TP1,T,1_3,CMT,0,15,15,72.139242,28.81,,,0.27,,,,2.37,1.3,,0.83,,0.56,2.78,0.92,,4.37,,3.9,0.79,,0.62,0.76,0.26,0.93,,0.72,,,,0.49,2.07,2.3,0.44,,,0.73,,,1.39,,,,,,,,,,,,,,1.387
8,TP1,T,1_3,CMT,15,60,45,39.17095251,46.43,,,0.45,0.43,,,4.41,2.09,0.33,1.31,,1.03,3.89,1.39,,7.21,,6.54,0.67,0.33,1.03,1.11,0.37,1.37,,0.85,0.28,,,0.25,3.07,2.82,0.65,0.34,,1.06,,,2.47,,,,,,0.31,0.39,,,,,,,1.654
9,TP1,T,1_3,CMT,60,100,40,22.02147498,16.36,,,,,,,0.98,0.64,,0.63,,,1.07,,,4.55,,2.82,0.52,,0.44,0.39,,,,1.23,,,,,0.94,0.54,,,,0.58,,,1.02,,,,,,,,,,,,,,3.136
10,TP1,C,1_4,CMT,0,15,15,70.44107041,46.84,,,0.38,0.54,,,3.57,1.84,0.29,1.16,,0.82,4.44,1.46,,7.32,,5.06,0.61,0.26,0.83,0.93,0.49,1.45,0.25,0.78,0.25,,,1.38,3.49,4.08,0.68,0.4,,1.06,,,1.9,,,,,,0.36,0.3,,,,0.23,,0.25,1.267
11,TP1,C,1_4,CMT,15,60,45,33.81619373,21.91,,,,,,,1.63,1.14,,0.6,,,1.8,0.56,,4.98,,3.39,0.61,,0.54,0.57,,0.54,,0.84,,,,,1.24,1,0.35,,,0.54,,,1.36,,,,,,,0.22,,,,,,,2.002
12,TP1,C,1_4,CMT,60,100,40,19.5871207,11.83,,,,,,,0.67,0.42,,0.45,,,0.75,,,3.23,,2.28,0.47,,0.35,,,,,0.99,,,,,0.71,0.42,,,,,,,0.68,,,,,,,0.41,,,,,,,3.269
13,TP1,T,2_3,OMT,0,15,15,92.39798119,85.8,,0.48,0.63,0.65,,,5.98,3.39,0.58,2.2,,1.61,8.23,3.06,,11.64,,8.03,0.91,0.44,1.29,1.6,0.94,2.79,0.37,0.91,0.49,,0.69,4.48,6.95,8.71,1.23,0.66,,1.66,,,3.36,0.37,,,,0.27,0.39,,,,,0.25,,0.54,1.082
14,TP1,T,2_3,OMT,15,60,45,19.16569974,27.29,,,,,,,1.82,1.4,,0.8,,,2.02,0.73,,6.09,,3.58,0.71,,0.63,0.72,,0.65,,1.24,,,,0.39,1.46,1.39,0.41,,,0.81,,,2.01,,,,,,,0.41,,,,,,,1.866
15,TP1,T,2_3,OMT,60,100,40,18.82412195,9.81,,,,,,,0.54,0.36,,0.44,,,0.52,,,2.28,,1.78,0.51,,0.31,0.29,,,,0.81,,,,,0.7,0.37,,,,0.37,,,0.53,,,,,,,,,,,,,,3.818
16,TP1,C,2_4,LMT,0,15,15,72.40743053,87.28,,0.57,0.67,0.68,,0.28,5.38,3.91,0.58,2.38,,1.54,8.56,2.89,0.31,12.01,,6.29,0.83,0.53,1.18,1.59,1.31,2.67,0.48,0.8,0.57,,0.49,3.55,6.75,11.2,1.54,0.71,,1.66,,,3.1,0.36,0.16,,,0.36,0.43,0.27,,,,0.31,,0.36,0.92
17,TP1,C,2_4,LMT,15,60,45,26.79906645,27.97,,,,,,,2.5,1.49,,0.9,,0.56,1.97,0.76,,5.18,,4.24,0.72,,0.74,0.77,,0.76,,0.85,,,,,1.77,1.5,0.44,,,0.74,,,1.63,,,,,,,0.45,,,,,,,1.951
18,TP1,C,2_4,LMT,60,100,40,14.9733554,15.45,,,,,,,0.95,0.66,,0.59,,,0.63,,,4.37,,2.47,0.5,,0.44,0.41,,,,1.13,,,,,0.73,0.5,,,,0.51,,,0.92,,,,,,,0.64,,,,,,,4.038
19,TP1,C,4_4,LMT,0,15,15,67.52813091,82.88,,0.46,0.61,0.62,,,5.44,3.3,0.63,1.9,,1.48,7.19,2.88,,14.02,,6.55,0.81,0.37,1.16,1.44,0.85,2.32,0.45,0.75,0.47,0.73,,5.31,6.11,8.36,1.56,0.64,,1.47,,,3.11,0.25,,,,0.32,0.6,,,,,0.32,,0.42,1.008
20,TP1,C,4_4,LMT,15,60,45,27.52329728,22.36,,,,,,,1.75,1.19,,0.75,,0.39,1.12,0.51,,5.34,,3.55,0.62,,0.6,0.64,,0.51,,1.06,,,,,1.21,0.83,0.32,,,0.59,,,1.05,,,,,,,0.33,,,,,,,2.633
21,TP1,C,4_4,LMT,60,100,40,18.41328078,12.44,,,,,,,0.93,0.64,,0.57,,,0.82,,,2.98,,2.13,0.52,,0.41,0.41,,,,0.75,,,,,0.72,0.49,,,,,,,0.79,,,,,,,0.29,,,,,,,3.167
22,TP1,T,4_5,CMT,0,15,15,55.32694455,69.39,,0.61,0.65,0.69,,0.32,4.27,3.1,0.44,1.63,,1.41,8.14,3.32,,10.06,4.81,,0.79,0.38,0.94,1.25,0.8,2.26,0.42,0.61,0.36,,0.38,2.54,4.97,8.54,0.67,0.61,,0.99,,,2.18,0.31,,,,,0.37,,,,,0.26,,0.3,0.907
23,TP1,T,4_5,CMT,15,60,45,21.78076029,17.55,,,,,,,1.39,1.07,,0.64,,,0.9,0.46,,3.71,,3.02,0.67,,0.51,0.6,,0.46,,0.85,,,,,1.04,0.69,,,,0.57,,,0.97,,,,,,,,,,,,,,3.08
24,TP1,T,4_5,CMT,60,100,40,14.50830004,15.27,,,,,,,1.2,0.81,,0.52,,,1.07,,,4.58,,2.46,0.55,,0.41,0.37,,,,0.92,,,,,0.85,0.58,,,,,,,0.55,,,,,,,0.4,,,,,,,3.49
25,TP1,C,5_5,CMT,0,15,15,65.05451744,46.09,,,0.47,,,,3.63,2.05,0.34,1.17,,0.9,4.44,1.54,,7.74,,5.04,0.95,,0.85,0.92,0.46,1.4,,0.63,0.29,,,0.73,3.66,4.12,0.8,0.29,,0.95,,,1.93,,,,,,0.33,,,,,0.22,,0.23,1.195
26,TP1,C,5_5,CMT,15,60,45,21.45947446,20.11,,,,,,,1.75,1.06,,0.52,,,1.04,0.5,,5.96,,3.04,0.55,,0.47,0.5,,0.42,,0.67,,,,,0.99,0.8,,,,0.51,,,1.03,,,,,,,0.32,,,,,,,2.855
27,TP1,C,5_5,CMT,60,100,40,18.95775132,16.08,,,,,,,1.25,0.91,,0.56,,,1.37,,,3.82,,2.72,0.58,,0.44,0.45,,0.37,,0.96,,,,,1.21,0.69,,,,,,,0.74,,,,,,,,,,,,,,2.488
28,TP1,T,6_3,LMT,0,15,15,96.96874585,95.86,,0.74,0.88,1.04,0.29,0.38,6.65,4.29,0.69,2.57,,1.97,9.94,3.79,,12.98,,7.18,0.95,0.59,1.38,1.84,1.15,3.17,0.5,0.83,0.61,,0.59,3.07,7.67,9.52,1.79,0.87,,1.94,,,3.29,0.4,,,,0.38,0.51,0.66,,,,0.32,,0.43,1.061
29,TP1,T,6_3,LMT,15,60,45,44.47845832,25.79,,,,,,,2.33,1.48,,0.83,,0.59,1.82,0.76,,4.96,,3.71,0.63,,0.61,0.67,,0.66,,0.63,,,,0.52,1.5,1.49,0.41,,,0.66,,,1.52,,,,,,,,,,,,,,1.781
30,TP1,T,6_3,LMT,60,100,40,22.06267858,16.36,,,,,,,1.16,0.85,,0.49,,,1.16,0.33,,3.96,,2.76,0.54,,0.41,0.45,,0.39,,0.84,,,,,0.84,0.6,,,,0.44,,,0.83,,,,,,,0.3,,,,,,,2.771
31,TP1,T,6_4,OMT,0,15,15,91.73284427,91.02,,0.61,0.74,0.99,0.25,0.22,7.17,4.05,0.57,2.31,,1.68,7.71,3.48,,12.35,,8.44,0.92,0.52,1.52,1.83,0.82,2.43,0.47,0.99,0.46,,0.61,3.72,6.9,8.61,1.47,0.71,,1.73,,,3.66,0.47,,,,0.46,0.45,0.55,0.14,,,0.3,0.16,0.56,1.247
32,TP1,T,6_4,OMT,15,60,45,49.96434593,44.87,,,0.34,,,,4.26,2.63,0.31,1.29,,1.01,2.67,1.42,,7.88,,5.79,0.91,,1.07,1.17,,1.18,,0.9,,,,1.54,2.85,3.09,0.44,,,0.97,,,2.88,,,,,,,,,,,,,0.26,1.683
33,TP1,T,6_4,OMT,60,100,40,18.43385048,18.83,,,,,,,1.16,0.85,,0.6,,,1.35,0.36,,4.78,,2.41,0.55,,0.46,0.44,,0.44,,1.11,,,,0.37,1.02,0.81,,,,0.45,,,0.91,,,,,,,0.75,,,,,,,2.507
34,TP1,C,6_5,OMT,0,15,15,88.08710075,121.33,,0.79,1.07,0.99,0.26,0.49,6.95,5.21,0.84,3.08,,1.96,12.18,3.8,0.28,19.07,,7.89,1.13,0.64,1.56,2.13,1.54,3.8,0.68,0.87,0.7,,1.08,6.7,9.95,12.61,1.83,1.08,,2.16,,,3.86,0.53,0.21,,,0.56,0.82,0.53,,,,0.49,0.21,0.82,0.965
35,TP1,C,6_5,OMT,15,60,45,40.22508745,45.34,,,0.39,,,,3.78,2.21,0.32,1.32,,0.91,3.31,1.34,,8.14,,5.74,0.89,,0.96,1.09,0.36,1.25,,0.96,0.28,,,0.73,3.19,3.05,0.68,0.29,,1.09,,,2.5,,,,,,0.32,,,,,,,0.22,1.544
36,TP1,C,6_5,OMT,60,100,40,,10.35,,,,,,,0.57,0.39,,0.4,,,0.67,,,3.91,,1.55,0.43,,0.32,0.26,,,,0.87,,,,,0.49,,,,,,,,0.49,,,,,,,,,,,,,,4.133
37,TP1,T,6_7,LMT,0,15,15,101.5593868,93.13,,0.68,0.78,0.87,0.26,0.31,6.65,4.08,0.65,2.51,,1.91,9.61,3.79,,12.85,7.45,,0.99,0.56,1.45,1.84,1.11,2.99,0.49,0.84,0.59,,0.57,2.78,7.7,9.18,1.8,0.76,,1.83,,,3.25,0.46,,,,0.38,0.49,,,,,0.31,,0.36,1.058
38,TP1,T,6_7,LMT,15,60,45,46.16145214,24.46,,,,,,,2.1,1.28,,0.78,,0.5,1.58,0.72,,4.2,,3.79,0.7,,0.62,0.73,,0.65,,0.73,,,,,1.7,1.59,0.43,,,0.73,,,1.64,,,,,,,,,,,,,,1.794
39,TP1,T,6_7,LMT,60,100,40,23.15410746,11.79,,,,,,,0.68,0.53,,0.47,,,0.82,,,2.56,,2.14,0.52,,0.36,0.35,,,,1.01,,,,,0.77,0.42,,,,0.49,,,0.68,,,,,,,,,,,,,,3.399
40,TP1,T,6_8,OMT,0,15,15,158.6033501,109.67,,0.79,0.94,1.16,0.32,0.34,8.51,4.76,0.67,2.98,,2.02,10.33,4.17,,14.63,,9.78,1.1,0.68,1.8,2.25,1.16,3.25,0.56,1.12,0.61,,0.65,3.25,9.23,10.46,1.75,0.97,0.29,1.81,,,4.44,0.39,,,,0.49,0.56,0.62,,,,0.34,,0.49,1.178
41,TP1,T,6_8,OMT,15,60,45,34.7696241,32.38,,,,,,,2.85,1.79,,1,,0.67,2.18,1.03,,5.39,,4.57,0.79,,0.78,0.9,,0.88,,0.76,,,,0.47,2.4,2.15,0.48,,,0.87,,,1.91,,,,,,,0.5,,,,,,,1.791
42,TP1,T,6_8,OMT,60,100,40,19.36227649,16.87,,,,,,,0.97,0.75,,0.6,,,0.94,,,4.65,,2.8,1.39,,0.44,0.42,,,,0.96,,,,,0.98,0.52,,,,,,,0.79,,,,,,,0.66,,,,,,,4.001
43,TP1,C,6_9,LMT,0,15,15,89.02577857,80.11,,0.51,0.72,0.71,,,6.16,3.71,0.51,2.17,,1.62,8.12,2.71,,11.78,,7.34,1.01,0.42,1.27,1.67,0.93,2.47,0.33,0.95,0.53,,,1.9,6.52,7.4,1.78,0.64,,1.75,,,3.07,,,,,,0.48,0.26,,,,0.32,,0.34,1.145
44,TP1,C,6_9,LMT,15,60,45,36.85920787,26.47,,,,,,,2.37,1.42,,0.83,,0.61,1.71,0.75,,5.04,,3.9,0.77,,0.66,0.73,,0.65,,0.73,,,,0.28,1.69,1.36,0.48,,,0.77,,,1.43,,,,,,,0.27,,,,,,,1.995
45,TP1,C,6_9,LMT,60,100,40,23.5490197,31.64,,,,,,,2.78,1.76,,0.98,,0.64,2.11,0.98,,5.23,,4.46,0.76,,0.77,0.91,,0.88,,0.73,,,,0.46,2.34,2.12,0.47,,,0.87,,,1.89,,,,,,,0.49,,,,,,,1.79
46,TP1,C,7_8,CMT,0,15,15,76.78632304,63.09,,0.33,0.55,0.64,,,4.16,2.7,0.44,1.57,,1.21,6.89,2.38,,8.53,,5.38,0.87,0.36,0.92,1.16,0.72,2.19,0.3,0.61,0.39,,0.44,1.85,5.15,6.91,1.45,0.46,,1.17,,,2.23,0.29,,,,,0.34,,,,,0.23,,0.31,0.979
47,TP1,C,7_8,CMT,15,60,45,30.47455696,23.57,,,,,,,2.05,1.17,,0.68,,0.47,1.51,0.62,,4.52,,3.83,0.68,,0.6,0.63,,0.57,,0.97,,,,,1.45,1.21,0.43,,,0.71,,,1.47,,,,,,,,,,,,,,1.995
48,TP1,C,7_8,CMT,60,100,40,15.10734269,15.81,,,,,,,1.02,0.74,,0.55,,,1.21,0.26,,3.24,,2.32,0.52,,0.42,0.4,,0.33,,1.06,,,,,1.17,0.67,,,,0.45,,,0.75,,,,,,,0.69,,,,,,,2.766
49,TP1,C,8_8,OMT,0,15,15,95.23276547,109.51,,0.78,0.93,1.01,0.27,0.39,7.38,4.99,0.73,2.94,,1.82,10.69,4.06,,14.85,,8.67,1.07,0.67,1.6,2.1,1.19,3.14,0.59,0.95,0.6,,1.04,5.54,8.58,11.13,2.15,0.99,,1.68,,,3.91,0.62,0.21,,,0.51,0.61,,,,,0.41,,0.7,1.067
50,TP1,C,8_8,OMT,15,60,45,37.35629275,31.02,,,0.34,,,,2.73,2.02,0.29,1,,,2.82,0.89,,5.27,,4.43,0.81,,0.74,0.86,,0.81,,0.83,,,,0.29,1.77,1.63,0.41,,,0.78,,,1.93,,,,,,,0.38,,,,,,,1.916
51,TP1,C,8_8,OMT,60,100,40,22.77797626,16.36,,,,,,,1.04,0.86,,0.61,,,0.97,0.26,,4.24,,2.82,0.56,,0.46,0.44,,0.33,,1.03,,,,,0.76,0.48,,,,0.53,,,0.96,,,,,,,,,,,,,,3.049
52,TP1,T,8_9,CMT,0,15,15,60.18032012,69.86,,0.4,0.6,0.53,,,5.32,2.94,0.47,1.8,,1.44,6.78,2.33,,11.13,6.26,,1.24,,1.08,1.27,0.7,2.14,0.34,0.78,0.4,,,3.42,5.93,5.93,0.84,0.52,,1.2,,,2.47,,,,,,0.44,0.54,,,,0.3,,0.33,1.195
53,TP1,T,8_9,CMT,15,60,45,32.56771836,41.05,,0.29,0.41,0.42,,,3.55,2.04,0.28,1.08,,0.78,3.91,1.47,,6.44,,4.91,0.87,,0.81,0.85,0.32,1.22,,0.7,0.22,,,0.57,2.79,3.33,0.59,0.29,,0.82,,,1.83,,,,,,0.25,,,,,,,,1.408
54,TP1,T,8_9,CMT,60,100,40,23.72743342,14.96,,,,,,,0.99,0.69,,0.65,,,0.94,0.24,,2.75,,2.28,0.7,,0.42,0.41,,0.23,,1.11,,,,,0.91,0.49,,,,0.45,,,0.8,,,,,,,0.9,,,,,,,3.512
55,TP2,T,1_1,LMT,0,15,15,259.0081765,76.66,,0.58,0.81,0.62,,,6.68,3.38,0.6,2.47,,1.27,6.39,2.77,,10.83,5.96,,1.24,,1.71,1.71,0.84,2.63,0.54,0.83,0.52,,0.39,1.58,5.84,6.26,1.61,0.74,0.53,1.87,,,3.65,0.3,,,,0.37,0.4,0.19,,,,0.27,,0.31,1.255
56,TP2,T,1_1,LMT,15,60,45,76.7959904,40.62,,,0.44,,,,3.27,2.39,0.38,1.66,,,3.38,1.09,,7.21,,4.53,1.06,,0.99,1.21,0.37,1.19,,1.2,0.27,,,0.53,2.65,2.33,0.72,,,1.07,,,2.32,,,,,,,0.34,,,,,,,1.747
57,TP2,T,1_1,LMT,60,100,40,76.58797208,15.28,,,,,,,0.93,0.62,,0.63,,,1.23,0.32,,3.2,,2.14,0.61,,0.45,0.39,,0.41,,0.92,,,,,0.96,0.74,,,,0.5,,,0.84,,,,,,,0.39,,,,,,,2.35
58,TP2,T,1_3,CMT,0,15,15,204.2260268,48.39,,0.29,0.53,0.3,,,4.02,2.14,0.42,1.61,,0.76,4.03,1.62,,8.01,,4.46,0.88,,1.14,1.12,0.52,1.63,0.31,0.63,0.31,,,0.9,3.46,3.64,0.71,0.5,,1.03,,,2.59,,,,,,0.34,,,,,0.24,,0.29,1.328
59,TP2,T,1_3,CMT,15,60,45,80.57209998,27.99,,,0.32,,,,2.19,1.35,0.27,0.86,,,2.71,0.8,,5.16,,3.68,0.68,,0.69,0.69,0.23,0.79,,0.8,,,,0.27,1.84,1.64,0.4,,,0.64,,,1.67,,,,,,,0.32,,,,,,,1.598
60,TP2,T,1_3,CMT,60,100,40,51.27851699,15.68,,,,,,,0.93,0.59,,0.52,,,1.07,,,3.69,,2.36,0.59,,0.42,0.34,,,,1.18,,,,,0.78,0.41,,,,,,,0.84,,,,,,,1.97,,,,,,,3.848
61,TP2,T,2_3,OMT,0,15,15,319.5061579,89.93,,0.65,0.8,0.77,,,8.06,4.03,0.65,3.12,,1.17,6.48,3.23,,12.86,,8.13,1.37,,2.26,2.11,0.86,2.89,0.65,0.99,0.54,,0.53,1.84,6.89,6.96,1.7,0.96,,1.99,,,5.26,0.4,,,,0.49,0.49,,0.15,,,0.27,,0.38,1.368
62,TP2,T,2_3,OMT,15,60,45,110.2380228,37.64,,0.23,0.33,,,,2.91,2.01,0.25,1.32,,0.68,2.86,1.27,,5.51,,4.07,0.78,,0.87,0.99,0.38,1.18,0.24,0.87,0.25,,,0.63,2.89,2.92,0.52,0.28,,0.93,,,2.15,,,,,,,0.29,,,,,,,1.48
63,TP2,T,2_3,OMT,60,100,40,69.71271458,15.26,,,,,,,0.88,0.76,,0.77,,,1.23,0.35,,3.16,,1.91,0.52,,0.41,0.4,,0.34,,0.86,,,,0.36,1.09,1.01,,,,0.43,,,0.77,,,,,,,,,,,,,,2.072
64,TP2,T,4_5,CMT,0,15,15,178.3489321,53.07,,,0.69,,,,4.74,2.4,,1.7,,,5.21,1.87,,10.15,,5.21,1.52,,1.3,1.2,,1.71,,0.67,,,,0.76,4.37,3.6,0.76,,,1.15,,,2.64,,,,,,,1.42,,,,,,,1.53
65,TP2,T,4_5,CMT,15,60,45,77.08802496,32.18,,,,,,,3,1.7,,1.11,,,2.94,0.91,,5.84,,4.3,0.83,,0.88,0.89,,0.95,,0.82,,,,0.34,2.16,1.97,0.46,,,0.78,,,1.8,,,,,,,0.48,,,,,,,1.82
66,TP2,T,4_5,CMT,60,100,40,95.30690643,11.96,,,,,,,1.01,0.67,,0.49,,,0.87,,,2.59,,2.06,0.55,,0.4,0.4,,,,0.8,,,,,0.75,0.45,,,,,,,0.54,,,,,,,0.4,,,,,,,3.644
67,TP2,T,6_3,LMT,0,15,15,260.4865993,62.75,,0.51,0.64,0.46,,,5.78,2.85,0.47,2.2,,0.94,4.85,2.26,,8.77,,5.23,0.99,,1.48,1.41,0.62,2.1,0.45,0.64,0.44,,0.28,1.22,5.11,4.91,1.33,0.63,,1.51,,,3.12,0.24,,,,0.4,0.33,0.16,,,,0.18,,0.25,1.343
68,TP2,T,6_3,LMT,15,60,45,31.09744534,24.99,,,,,,,2.21,1.33,,0.85,,0.4,1.94,0.83,,3.98,,2.95,0.51,,0.57,0.64,0.22,0.77,,0.53,,,,0.6,1.99,1.89,0.35,,,0.66,,,1.3,,,,,,,0.47,,,,,,,1.559
69,TP2,T,6_3,LMT,60,100,40,55.76014663,13.55,,,,,,,1.17,0.83,,0.63,,0.23,0.82,0.32,,2.26,,2.13,0.43,,0.39,0.4,,0.41,,0.67,,,,0.14,0.79,0.8,,,,0.42,,,0.74,,,,,,,,,,,,,,2.363
70,TP2,T,6_4,OMT,0,15,15,419.3304873,69.92,,0.59,0.72,0.54,,,6.3,3.24,0.53,2.47,,0.98,5.23,2.69,,9.61,,5.78,1.08,,1.64,1.61,0.68,2.23,0.54,0.8,0.47,,0.4,1.53,5.5,5.62,1.31,0.71,,1.69,,,3.55,0.3,,,,0.39,0.34,0.36,,,,0.21,,0.29,1.383
71,TP2,T,6_4,OMT,15,60,45,145.1624225,23.13,,,0.2,,,,2.3,1.29,,0.87,,0.36,1.51,0.74,,3.7,,3.26,0.55,,0.62,0.63,,0.68,,0.61,,,,0.35,1.68,1.4,0.35,,,0.66,,,1.37,,,,,,,,,,,,,,1.9
72,TP2,T,6_4,OMT,60,100,40,69.9403768,13.19,,,,,,,1.1,0.74,,0.66,,,0.8,0.34,,2.19,,2.02,0.42,,0.39,0.4,,0.38,,0.81,,,,,0.92,0.78,,,,0.44,,,0.79,,,,,,,,,,,,,,2.543
73,TP2,T,6_7,LMT,0,15,15,314.8251887,69.13,,0.59,0.72,0.53,,,6.26,3.17,0.51,2.37,,1.02,5.63,2.49,,9.65,5.41,,1,,1.58,1.52,0.69,2.37,0.47,0.69,0.5,,0.36,1.33,5.67,5.67,1.66,0.73,,1.69,,,3.42,0.22,,,,0.34,0.35,,,,,0.24,,0.29,1.268
74,TP2,T,6_7,LMT,15,60,45,98.41696544,36.07,,0.24,0.33,0.39,,,3.32,1.84,0.23,1.19,,0.64,2.79,1.12,,5.22,,4.14,0.68,,0.83,0.9,0.3,1.1,0.19,0.72,0.24,,,0.4,2.68,2.54,0.56,0.27,,0.94,,,1.89,,,,,,0.19,0.2,,,,,,,1.619
75,TP2,T,6_7,LMT,60,100,40,47.73817176,11.02,,,,,,,0.83,0.61,,0.49,,,0.68,,,2.45,,1.74,0.37,,0.35,0.33,,0.25,,0.84,,,,,0.56,0.42,,,,0.4,,,0.72,,,,,,,,,,,,,,2.881
76,TP2,T,6_8,OMT,0,15,15,374.5287658,62.72,,0.53,0.6,0.52,,,5.78,3.06,0.46,2.1,,0.95,4.82,2.35,,9.05,,5.64,0.65,0.26,1.43,1.53,0.64,2,0.44,0.79,0.42,,0.23,1.16,4.9,4.71,0.87,0.57,,1.57,,,3.16,0.22,,,,0.32,0.34,0.19,,,,0.2,,0.26,1.446
77,TP2,T,6_8,OMT,15,60,45,136.7107938,40.38,,0.35,0.39,0.24,,,3.52,2.37,0.29,1.45,,0.71,3.13,1.43,,6,,3.98,0.66,,0.91,1.06,0.38,1.24,0.24,0.7,0.24,,,0.72,3.13,3.06,0.53,0.3,,0.99,,,2.01,,,,,,0.19,,,,,,,0.16,1.516
78,TP2,T,6_8,OMT,60,100,40,56.54429847,13.18,,,,,,,1.08,0.79,,0.59,,,0.71,0.3,,2.48,,2.25,0.39,,0.41,0.41,,0.34,,0.85,,,,,0.88,0.61,,,,0.43,,,0.66,,,,,,,,,,,,,,3.098
79,TP2,T,8_9,CMT,0,15,15,166.4581454,36.71,,0.26,0.35,,,,3.48,1.78,0.28,1.22,,0.65,2.88,1.32,,5.78,,3.55,0.61,,0.91,0.85,0.41,1.18,0.27,0.43,0.25,,,0.94,2.89,2.77,0.51,0.37,,0.77,,,2.01,,,,,,,,,,,,,,1.391
80,TP2,T,8_9,CMT,15,60,45,76.01447717,23.64,,,0.22,,,,2.34,1.36,,0.8,,0.5,1.74,0.74,,3.97,,3.12,0.52,,0.63,0.63,,0.65,,0.57,,,,0.37,1.7,1.58,0.31,,,0.57,,,1.32,,,,,,,,,,,,,,1.727
81,TP2,T,8_9,CMT,60,100,40,49.86176796,9.24,,,,,,,0.66,0.45,,0.51,,,0.37,0.15,,1.73,,1.48,0.36,,0.32,0.28,,0.18,,0.85,,,,,0.43,0.34,,,,0.34,,,0.55,,,,,,,0.26,,,,,,,3.832
82,TP3,T,1_1,LMT,0,15,15,316.3416066,43.66,,0.27,0.38,0.25,,,4.2,1.94,0.29,1.58,,0.64,2.81,1.33,,6.98,,4.81,0.54,0.18,1.21,1.14,0.37,1.28,0.28,0.85,0.3,,,0.55,3.13,2.6,0.64,0.34,,1.35,,,2.51,,,,,0.2,0.26,0.27,,,,,,0.17,1.737
83,TP3,T,1_1,LMT,15,60,45,138.5366116,17.98,,,,,,,1.42,1.07,,0.72,,0.27,1.04,0.46,,3.46,,2.26,0.45,,0.51,0.51,,0.55,,0.91,,,,0.22,1.08,1.06,0.29,,,0.51,,,1.21,,,,,,,,,,,,,,1.897
84,TP3,T,1_1,LMT,60,100,40,86.41196934,9.72,,,,,,,0.64,0.47,,0.52,,,0.39,,,2.51,,1.49,0.33,,0.31,0.29,,,,0.79,,,,,0.57,0.45,,,,0.36,,,0.6,,,,,,,,,,,,,,3.598
