sample_id,timepoint,crop,plot,mgmttype,depth_upper,depth_lower,depth_code,mic_c,total_biomass,011: 12:0,019: 14:0 iso,026: 14:0,028: 15:1 iso w6c,029: 15:4 w3c,030: 15:1 anteiso w9c,031: 15:0 iso,033: 15:0 anteiso,041: 15:0,045: 16:0 iso,047: 16:0 anteiso,048: 16:1 w9c,050: 16:1 w7c,052: 16:1 w5c,054: 16:1 w3c,055: 16:0,056: 17:1 iso w10c,057: 16:0 10-methyl,058: 17:1 iso w9c,059: 17:1 anteiso w9c,061: 17:0 iso,062: 17:0 anteiso,064: 17:1 w8c,067: 17:0 cyclo w7c,071: 17:0,072: 17:1 w7c 10-methyl,074: 17:0 10-methyl,075: 18:3 w6c,076: 18:0 iso,078: 18:2 w6c,079: 18:1 w9c,081: 18:1 w7c,083: 18:1 w5c,086: 18:1 w7c 10-methyl,087: 17:0 iso 3OH,088: 18:0 10-methyl,090: 19:3 w6c,095: 19:1 w8c,099: 19:0 cyclo w7c,102: 20:4 w6c,103: 20:5 w3c,104: 20:3 w6c,106: 20:2 w6c,107: 20:1 w9c,112:20:00,113: 20:0 10-methyl,121: 21:1 w3c,123: 22:5 w6c,124: 22:6 w3c,135:22:00,142:23:00,149:24:00,Grampos_Gramneg
134,TP3,C,8_8,OMT,15,60,45,149.739859,34.56,,0.24,0.31,,,,3.13,1.91,0.26,1.15,,0.49,2.21,1.06,,6.17,,4.35,0.66,,0.84,0.87,0.29,0.98,0.21,0.67,0.21,,,0.51,2.22,2.26,0.47,0.24,,0.82,,,1.83,,,,,,0.22,,,,,,,,1.771
135,TP3,C,8_8,OMT,60,100,40,134.6645495,18.06,,,,,,,1.25,0.93,,0.62,,,1.01,0.41,,4.92,,2.49,0.46,,0.47,0.42,,0.4,,0.73,,,,0.27,1.06,1,,,,0.45,,,0.86,,,,,,,0.32,,,,,,,2.48
106,TP3,T,8_9,CMT,0,15,15,225.8286897,44.8,,0.35,0.46,0.35,,,4.44,2.4,0.34,1.57,,0.68,3.1,1.37,,6.93,,4.41,0.73,,1.11,1.04,0.48,1.35,0.31,0.54,0.3,,,0.81,3.26,3.1,0.77,0.43,,0.9,,,2.55,,,,,,0.29,,,,,0.17,,0.23,1.543
107,TP3,T,8_9,CMT,15,60,45,79.92362633,18.17,,,0.2,,,,1.67,1.14,,0.65,,0.29,1.14,0.44,,3.49,,2.38,0.49,,0.49,0.49,,0.47,,0.57,,,,0.18,1.18,0.97,0.22,,,0.46,,,0.91,,,,,,,0.32,,,,,,,2.16
108,TP3,T,8_9,CMT,60,100,40,67.59419886,11.88,,,,,,,0.82,0.57,,0.44,,,0.44,,,4.84,,1.54,0.32,,0.34,0.29,,,,0.7,,,,,0.4,0.26,,,,,,,0.62,,,,,,,0.29,,,,,,,4.022
136,TP4,T,1_1,LMT,0,15,15,362.5393999,31.03,,,0.26,,,,2.66,1.43,,0.91,,0.56,1.94,0.86,,6.7,,4.59,0.67,,0.7,0.7,,0.74,0.18,0.86,,,,0.29,1.85,1.71,0.49,,,0.78,,,1.91,,,,,,0.24,,,,,,,,1.809
137,TP4,T,1_1,LMT,15,60,45,112.5456257,29.1,,,,,,,2.14,1.24,,0.81,,0.47,1.69,0.71,,7.24,,3.99,0.58,,0.63,0.69,,0.72,0.2,0.94,,,,0.51,1.53,1.5,0.47,,,0.71,,,1.63,,,,,,0.27,0.43,,,,,,,1.878
138,TP4,T,1_1,LMT,60,100,40,39.86291584,14.52,,,,,,,0.74,0.52,,0.48,,,0.53,,,6.06,,2.04,0.36,,0.36,,,,,1,,,,,0.65,0.41,,,,,,,0.57,,,,,,,0.8,,,,,,,4.182
139,TP4,C,1_2,OMT,0,15,15,490.4091438,106.3,0.78,0.9,0.89,1.38,0.24,0.34,6.87,4.12,0.66,2.39,,2.14,11.7,5.14,,15.75,,7.89,0.92,0.56,1.59,1.67,1.07,2.69,0.6,0.77,0.46,,0.83,5.79,7.61,11.42,1.01,0.64,,1.59,,,3.2,,0.47,,,0.51,0.51,,,0.29,0.24,0.26,,0.37,0.976
140,TP4,C,1_2,OMT,15,60,45,118.6316826,32.04,,,0.24,,,,2.45,1.54,,0.92,,0.52,2.3,0.95,,6.89,,4.33,0.62,,0.67,0.69,0.24,0.81,0.18,0.86,,,,0.46,1.74,1.9,0.4,,,0.76,,,1.78,0.19,,,,,0.26,0.31,,,,,,,1.652
